"method","alpha","b","alpha_gap_vs_reference","b_gap_vs_reference","alpha_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct","optimization_time","converged","fncount","grcount","replicate"
"chebyshev",1.02920350623059,0.275099939558459,-0.0179332014884541,0.0153923536249427,-0.170796493769413,-0.0249000604415411,10.9419581385882,0.0383708117328707,0.320000000000007,TRUE,11,11,8
"reference",1.09643905650348,0.366475212839679,0,0,-0.103560943496519,0.0664752128396791,0,0,10.46,TRUE,13,13,9
"spline",1.09541434355353,0.367243583935123,-0.00102471294994699,0.000768371095443754,-0.104585656446466,0.0672435839351228,0.00519173994689481,1.47046072108551e-05,0.829999999999998,TRUE,46,46,9
"chebyshev",1.0952534391491,0.36735611344943,-0.00118561735438072,0.000880900609751156,-0.1047465608509,0.0673561134494302,0.00669691084476653,1.89677149675623e-05,0.299999999999997,TRUE,12,12,9
"reference",1.02661564832626,0.316457705267745,0,0,-0.173384351673744,0.0164577052677454,0,0,9.66,TRUE,12,12,10
"spline",1.01956472195624,0.327825118682438,-0.00705092637001603,0.0113674134146924,-0.18043527804376,0.0278251186824379,5.42621025231347,0.018160356102214,0.199999999999989,TRUE,12,12,10
"chebyshev",1.0196770858051,0.327691486812363,-0.00693856252115954,0.0112337815446171,-0.180322914194904,0.0276914868123626,5.3215722115674,0.017810155134425,0.310000000000002,TRUE,12,12,10
"reference",1.07289379328364,0.458902307913476,0,0,-0.127106206716359,0.158902307913476,0,0,12.92,TRUE,16,16,11
"spline",1.0655809310467,0.4648952321504,-0.00731286223694405,0.00599292423692477,-0.134419068953303,0.1648952321504,0.156851952735451,0.000399174358642113,0.25,TRUE,14,14,11
"chebyshev",1.06525628802152,0.465170620499683,-0.0076375052621207,0.00626831258620775,-0.134743711978479,0.165170620499683,0.170990263570275,0.000435155110308573,0.650000000000006,TRUE,27,27,11
"reference",1.06643197422289,0.321102649026671,0,0,-0.133568025777106,0.0211026490266711,0,0,18.86,TRUE,23,23,12
"spline",1.050759598013,0.332296461597396,-0.0156723762098971,0.0111938125707249,-0.149240401987003,0.032296461597396,1.82019696174029,0.00568391424224172,0.210000000000008,TRUE,13,13,12
"chebyshev",1.05084609778476,0.332192733146971,-0.0155858764381385,0.0110900841202997,-0.149153902215244,0.0321927331469708,1.77553891517164,0.00554446092358571,0.360000000000014,TRUE,13,13,12
"reference",1.10379832600467,0.308214189986582,0,0,-0.0962016739953271,0.00821418998658163,0,0,9.92999999999998,TRUE,12,12,13
"spline",1.11430678425382,0.305125755945026,0.0105084582491493,-0.0030884340415554,-0.0856932157461778,0.00512575594502623,0.588872683070804,0.00180933494879706,0.189999999999998,TRUE,11,11,13
"chebyshev",1.11436830161617,0.305019996606563,0.0105699756114936,-0.00319419338001903,-0.0856316983838334,0.0050199966065626,0.568432196188951,0.00174653073262438,0.269999999999982,TRUE,11,11,13
"reference",1.03825262786162,0.296962200768961,0,0,-0.161747372138376,-0.00303779923103897,0,0,9.83000000000001,TRUE,12,12,14
"spline",1.03255002433456,0.305064182571024,-0.0057026035270682,0.00810198180206312,-0.167449975665445,0.00506418257102415,3.18641222556471,0.0109216802757064,0.180000000000007,TRUE,11,11,14
"chebyshev",1.03248934326947,0.305074076397982,-0.00576328459215336,0.00811187562902133,-0.16751065673053,0.00507407639798235,3.16966771064472,0.0108642871246066,0.280000000000001,TRUE,11,11,14
"reference",1.11261546936418,0.30544997089057,0,0,-0.0873845306358212,0.00544997089057042,0,0,9.93000000000001,TRUE,12,12,15
"spline",1.11496702812725,0.306149767942696,0.00235155876306958,0.000699797052125861,-0.0850329718727516,0.00614976794269628,0.353973233643046,0.00106543202970939,0.550000000000011,TRUE,30,30,15
"chebyshev",1.11523975964152,0.305946926879167,0.0026242902773439,0.00049695598859667,-0.0847602403584773,0.00594692687916709,0.32530156977009,0.000979132541126832,0.530000000000001,TRUE,20,20,15
"reference",1.06927560708249,0.332758610760652,0,0,-0.130724392917505,0.0327586107606524,0,0,9.64000000000001,TRUE,12,12,16
"spline",1.09198372116289,0.323583183600621,0.0227081140803931,-0.00917542716003117,-0.108016278837112,0.0235831836006212,2.32438515631657,0.00695292867941268,0.640000000000015,TRUE,33,33,16
"chebyshev",1.09167371094178,0.323742116810116,0.0223981038592855,-0.00901649395053666,-0.10832628905822,0.0237421168101157,2.27703106334229,0.00681127847560129,0.699999999999989,TRUE,28,28,16
"reference",1.14069100088669,0.253921138929487,0,0,-0.0593089991133118,-0.0460788610705132,0,0,9.03999999999999,TRUE,11,11,17
"spline",1.12173961999584,0.263024300478557,-0.0189513808908488,0.00910316154907065,-0.0782603800041606,-0.0369756995214425,2.68369361395526,0.00898286492154108,0.189999999999998,TRUE,11,11,17
"chebyshev",1.12152779805279,0.263084576509868,-0.0191632028338993,0.0091634375803813,-0.0784722019472111,-0.0369154234901319,2.70085720589486,0.00904031493266017,0.300000000000011,TRUE,11,11,17
"reference",1.07078054045921,0.357130645977363,0,0,-0.129219459540794,0.057130645977363,0,0,12.03,TRUE,15,15,18
"spline",1.07124436404622,0.358076718435291,0.000463823587012913,0.000946072457927549,-0.128755635953781,0.0580767184352906,0.113120662019355,0.00033574704009389,0.25,TRUE,13,13,18
"chebyshev",1.07146575155714,0.357831048624566,0.00068521109793851,0.000700402647203502,-0.128534248442855,0.0578310486245665,0.092218941426836,0.000273709825171942,0.310000000000002,TRUE,12,12,18
"reference",1.04304918625308,0.298410217313514,0,0,-0.156950813746919,-0.00158978268648624,0,0,8.84999999999999,TRUE,11,11,19
"spline",1.0591088094773,0.294676636467952,0.0160596232242165,-0.00373358084556208,-0.140891190522703,-0.00532336353204832,1.82991867368037,0.00619901984167175,0.75,TRUE,44,44,19
"chebyshev",1.05899103323592,0.294694271187929,0.0159418469828345,-0.00371594612558485,-0.141008966764085,-0.00530572881207109,1.79710066075131,0.00608784576807082,0.640000000000015,TRUE,26,26,19
